itemId,category,name,brandName,price,averageRating,totalReviews,retrievedDate
108253226,beli-smart-tv,Laptop Acer E5-475G-541U Core i5-7200U RAM 4GB NVIDIA 940MX (FREE ASURANSI),Acer,6873700,5,3,02/10/2019
108255083,beli-smart-tv,"Lenovo Ideapad 100 - RAM 6GB - Core i3 5005U - Windows 10 - 15.6"" - Hitam",Acer,5999000,2,5,02/10/2019
108404196,beli-smart-tv,"Acer Aspire E5-475G - Intel Kabylake Core i5 7200U - 8GB DDR4 - GT940MX 2GB DDR5 - HDD 1TB - 14""",Acer,8800000,1,2,02/10/2019
108488716,beli-smart-tv,Notebook Asus E203NAH 11in Ram4Gb Include Windows 10 Original Garansi Resmi,Asus,3599000,5,3,02/10/2019
108710879,beli-smart-tv,"Asus P2430UA i3 4GB 500GB 14"" Limited Edition",Asus,5299000,5,3,02/10/2019
108831542,beli-smart-tv,"LENOVO V330-14IKB I Proc Gen Ke-8 i5-8250 I 8GB DDR4 I 1TB HDD I SLOT M2 SSD I AMD RADEON 530 2GB I 14"" FULL HD I FINGERPRINT I TANPA ODD",Lenovo,7906000,5,2,02/10/2019
108886997,beli-smart-tv,ASUS Notebook X200MA-KX637D Non Windows - Black,Asus,3399000,5,1,02/10/2019
109471537,beli-smart-tv,"LAPTOP GAMING ASUS ROG G501JW i7-4720HQ ULTRASLIM DDR3 8GB, 1TB Hardisk, Intel Core i7,VGA nVidia GTX960-2GB",Asus,25190000,5,1,02/10/2019
109545110,beli-smart-tv,"Asus X540YA E1 2GB 500GB 15.6""",Asus,3349000,5,1,02/10/2019
109550524,beli-smart-tv,"Asus A456UR i5 Vga2GB Ram4GB Hd1TB 14"" GaransiResmi",Asus,7199000,5,1,02/10/2019
109552110,beli-smart-tv,Acer Aspire E5-475-30HG/GR Nvidia Geforce GT-940MX 2GB,Acer,5554000,5,1,02/10/2019
109669519,beli-smart-tv,Asus Rog Gl552vx Dm229d + Win 10 - Gaming Series,Multi,3999000,3,1,02/10/2019
109669579,beli-smart-tv,Macbook Mid 2015 16gb 512gb Dual Vga,Multi,3999000,1,1,02/10/2019
110292878,beli-smart-tv,HP Elitebook 820 G2 Silver/Black,HP,18500000,5,2,02/10/2019
110433728,beli-smart-tv,"Laptop Lenovo Ideapad 100-15IBD Windows 10 COre I3-5005 Ram 6GB HDD 500GB VGA Intel Layar 15,6"" (Hitam)   ",Lenovo,5600000,5,3,02/10/2019
110566628,beli-smart-tv,PROMO Acer Aspire ES1-432-C08S / C45N BLACK LAPTOP COCOK buat pelajar dan pekerja kantor + bonus tas laptop + free asuransi,Acer,3552900,5,3,02/10/2019
11059034,beli-smart-tv,"Polytron PLD32T7511 LED TV Tower CinemaX 32"" - Hitam",Polytron,3200000,3,2,02/10/2019
11060288,beli-smart-tv,"Sanyo Aqua Series 32AQT1000 32"" Televisi LED - Khusus JABODETABEK",Sanyo,2099000,4,8,02/10/2019
11089858,beli-smart-tv,Asus S330UA EY302T Core i3 8130 4GB SSD 256GB 133 FHD VGA Intel W10,Asus,8499000,4,1,02/10/2019
111217500,beli-smart-tv,Tv Led Polytron 24 Inch 24T1850 Cinemax Hdmi Hd Ready Usb,Polytron,1490000,5,1,02/10/2019
111217503,beli-smart-tv,Led Polytron 32 Inch Pld32t1506 Cinemax Bluetooth,Multi,2200000,3,3,02/10/2019
111217514,beli-smart-tv,Tv Led Polytron 32 Inch 32t7511 Cinemax + Tower,Multi,2000000,5,1,02/10/2019
111304588,beli-smart-tv,Notebook Gaming MSI GT72VR 6RE Dominator Tobii,Import,74329000,4,3,02/10/2019
111559423,beli-smart-tv,"Samsung 40"" LED TV N5000 - Hitam - Free Bracket (Khusus Daerah Medan)",Samsung,3550000,5,1,02/10/2019
111568693,beli-smart-tv,Panasonic LED TV 32 inch F302G - Hitam,Panasonic,2175000,2,43,02/10/2019
111593559,beli-smart-tv,Asus X454YA BX801D AMD A8-7410,Asus,4583500,5,1,02/10/2019
111630530,beli-smart-tv,"Laptop Gaming Asus G752VY-GC346T - 17.3"" FHD - Intel i7-6700HQ - Ram 32GB - Gray",Asus,59345000,4,15,02/10/2019
111702245,beli-smart-tv,"Toshiba C55 B867 CORE I3 3217 Ram 4GB Hardisk 500GB LCD 15,6inc NO OS ",Toshiba,5499000,4,1,02/10/2019
11175321,beli-smart-tv,"Lenovo Ideapad 110 - 15IBR - Celeron N3060 - RAM 4GB - 500GB - 15,6"" - Hitam",Lenovo,3695500,5,2,02/10/2019
111762994,beli-smart-tv,Microsoft Surface 3,Microsoft,11000000,5,1,02/10/2019
112002447,beli-smart-tv,"Lenovo N22 - Intel Celeron N3050 - Windows 10 Pro - RAM 4GB - Hard Drive 32GB EMMC - 11,6""",Lenovo,2999000,3,9,02/10/2019
112034154,beli-smart-tv,"Lenovo Ideapad 110-15ISK - Windows 10 - Core i3-6100U - RAM 4GB DDR4 - 1TB HDD - 15,6""",Lenovo,5500000,5,1,02/10/2019
112081646,beli-smart-tv,LG LED TV 20 inch 20MT48A-Hitam,LG,1315000,4,1,02/10/2019
